店舗CD,PLUコード,商品名称,メーカーコード,メーカー名,品番,カラー,サイズ,ターゲットコード,ターゲット,アイテムコード,アイテム,部門コード,部門,中分類コード,中分類,大分類コード,大分類名,属性,規格,原価,売価,2025/3/19 PM5:05時点の最終原価単価,数量,2025/3/19 PM5:05時点の最終原価金額,受託数量,2025/3/19 PM5:05時点の最終原価金額,最終仕入日,初回仕入日,最終売上日
00130,4549526186721,EQW-T650DB-1AJF,0000060,ｶｼｵ計算機,EQW-T650DB-1AJF,,WC,,,,,0120,メーカーＷ,0120,メーカーＷ,0003,時計,,,25440,52800,25440,1,25440,0,0,2024/06/03,2019/10/21,2024/06/02
00130,4974375524101,ES9430-89E,0000003,ｼﾁｽﾞﾝ時計,ES9430-89E,2308/SS*BK,,,,,,0120,メーカーＷ,0120,メーカーＷ,0003,時計,,,31900,60500,31900,1,31900,0,0,2024/07/30,2023/11/17,2024/07/25
00130,4974375491021,ES9434-53W,0000003,ｼﾁｽﾞﾝ時計,ES9434-53W,1902/ﾐﾆｿﾙ/ﾛｰﾏﾝSSｺﾝﾋﾞ,,,,,,0120,メーカーＷ,0120,メーカーＷ,0003,時計,,,33060,62700,29000,1,29000,0,0,2024/11/01,2019/03/12,2024/10/27
00130,4974375491045,ES9435-51A,0000003,ｼﾁｽﾞﾝ時計,ES9435-51A,1902/ﾐﾆｿﾙ/ﾛｰﾏﾝPGIP,,,,,,0120,メーカーＷ,0120,メーカーＷ,0003,時計,,,33060,62700,33060,1,33060,0,0,2024/10/10,2019/02/05,2024/09/06
00130,4974375498716,ES9465-50W,0000003,ｼﾁｽﾞﾝ時計,ES9465-50W,20AWﾏｽｺﾐmizuｺﾚH060,,,,,,0120,メーカーＷ,0120,メーカーＷ,0003,時計,,,56260,106700,52200,1,52200,0,0,2024/09/03,2020/11/14,2024/08/30
00130,4974375524422,ES9490-61L,0000003,ｼﾁｽﾞﾝ時計,ES9490-61L,2310/ｻﾌﾞﾏｽhikari/HF/Ti*BK,,,,,,0120,メーカーＷ,0120,メーカーＷ,0003,時計,,,50460,95700,50460,1,50460,0,0,2024/03/28,2023/10/03,2024/04/05
00130,4974375524415,ES9496-64W,0000003,ｼﾁｽﾞﾝ時計,ES9496-64W,2310/hikari/HF/ｻｸﾗｺﾝﾋﾞ*PK/ﾏｽｺﾐ,,,,,,0120,メーカーＷ,0120,メーカーＷ,0003,時計,,,52200,99000,52200,1,52200,0,0,2024/04/05,2023/10/03,2024/03/31
00130,4974375527607,ES9497-96A,0000003,ｼﾁｽﾞﾝ時計,ES9497-96A,2410/hikari/HF/allｻｸﾗPK,,,,,,0120,メーカーＷ,0120,メーカーＷ,0003,時計,,,52200,99000,52200,1,52200,0,0,2025/01/07,2024/10/08,2024/12/25
00130,4974375491076,EW5543-54A,0000003,ｼﾁｽﾞﾝ時計,EW5543-54A,1902/EcoﾄﾉｰPGIP,,,,,,0120,メーカーＷ,0120,メーカーＷ,0003,時計,,,26100,49500,26100,1,26100,0,0,2020/03/26,2020/03/26,
00130,4974375491083,EW5544-51W,0000003,ｼﾁｽﾞﾝ時計,EW5544-51W,1902/Ecoﾄﾉｰｺﾝﾋﾞ,,,,,,0120,メーカーＷ,0120,メーカーＷ,0003,時計,,,26100,49500,26100,1,26100,0,0,2025/03/18,2020/03/26,2025/03/15
